Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,12.224564,1.772955,0.980838,41.953458,24.102184,5.011568,6.289913,5.005423,4.009500
AU,4.567102,1.160775,0.953563,96.222534,96.567029,8.005904,8.025274,7.007866,8.160629
BR,19.734181,4.388875,0.851818,79.586033,49.005603,5.850336,5.980336,7.102756,7.002869
CA,4.566863,1.181191,0.996869,97.075474,88.900824,3.995218,8.025590,5.992439,10.032576
CH,18.154359,8.705204,0.962399,37.294178,50.017347,8.002347,9.050000,7.006653,5.991657
FR,4.566199,1.193703,0.950398,97.993204,87.921012,8.082445,7.001027,8.147210,9.006642
DE,4.497505,0.841894,0.885694,97.548909,99.911302,6.767989,7.292754,6.580079,6.880661
IN,22.514825,13.844910,1.348984,7.620421,59.287597,3.023667,4.006537,2.997507,4.016312
ID,12.174045,2.366780,0.804837,68.839580,68.634477,8.001250,8.996490,8.003794,9.003678
IT,5.001564,0.860523,0.949925,63.033225,10.764072,8.003203,7.001025,7.006445,9.006206
JP,4.760193,0.677576,0.840980,97.648260,54.692164,6.966930,8.966466,6.977508,8.969209
KR,7.283698,1.485824,0.733808,89.874924,44.113234,8.005554,7.003809,8.008432,5.994767
MX,11.812530,1.839443,0.880829,74.135282,45.785386,3.992587,7.005131,7.006049,3.990805
RU,18.004732,4.685455,0.953556,74.853939,35.376946,8.014750,6.009469,4.998393,4.001242
SA,28.858331,13.844912,1.076039,70.324045,57.062295,6.129288,8.958739,2.979034,1.973112
ZA,22.431263,10.433707,0.953552,31.091215,10.764008,5.903117,5.002143,4.992366,8.136923
TR,12.309231,4.567859,1.363009,41.550651,70.388707,9.050000,9.008642,9.012344,9.013655
GB,0.491033,2.359500,0.965241,100.000000,92.043114,7.958918,7.325165,9.989539,8.961825
US,12.026920,1.719162,1.064171,92.405103,79.595357,6.769931,7.294984,6.581292,7.007210
