Code,Country,Road_fatalities_per_100_000_inhabitants,Road_fatalities_per_10_000_registered_vehicles,Change_in_number_of_road_deaths,Seatbelt_wearing_rates_front_seats,Seatbelt_wearing_rates_rear_seats,Enforcement_score_speed_limit_law,Enforcement_score_drink_driving_law,Enforcement_score_seat_belt_law,Enforcement_score_helmet_use_law
AR,Argentina,12.3402,2.9331,1.0856,33.2554,33.4502,3.0000,3.0000,3.0000,1.0000
AU,Australia,6.1540,0.7220,0.7589,96.1835,94.8824,5.5833,5.3020,5.6667,5.0000
BR,Brazil,24.2938,5.7355,1.0844,59.7766,60.0603,7.0000,8.0000,6.0000,6.0000
CA,Canada,6.6565,0.8434,0.7347,96.6285,88.6374,5.5833,4.0000,5.6667,5.0000
CH,China,20.2482,10.4491,0.9244,50.0527,50.1552,8.0000,9.0000,5.6667,5.0000
FR,France,6.3645,0.5628,0.7309,97.9421,84.7697,7.0000,4.0000,9.0000,7.0000
DE,Germany,3.3731,0.6045,0.6906,97.5348,98.2980,5.5833,5.2659,5.6667,5.0000
IN,India,17.1952,14.1720,1.0742,74.3690,54.8472,5.5833,3.0000,2.0000,2.0000
ID,Indonesia,13.6144,3.5851,0.9533,84.5483,84.5682,3.0000,5.2907,7.0000,7.0000
IT,Italy,6.7622,0.5496,0.6724,62.9278,10.8233,8.0000,7.0000,7.0000,7.0000
JP,Japan,4.5569,0.4532,0.7135,98.9083,32.6263,5.5833,5.2927,5.6667,5.0000
KR,South Korea,11.3351,2.5712,0.8318,83.8112,4.9032,8.0000,7.0000,7.0000,7.0000
MX,Mexico,14.4836,5.7273,0.9142,36.1102,58.3796,5.0000,3.0000,5.0000,3.0000
RU,Russia,20.5015,6.1385,0.7132,33.2969,58.4667,6.0000,6.0000,7.0000,4.0000
SA,Saudi Arabia,24.8673,9.9824,0.9561,74.6731,58.7767,5.0000,7.0000,5.0000,3.0000
ZA,South Africa,28.6871,14.3484,0.7520,31.0176,8.1323,3.0000,2.0000,2.0000,6.0000
TR,Turkey,8.9614,4.6911,1.0018,70.2622,69.9583,4.0000,3.0000,8.0000,5.0000
GB,United Kingdom,2.4745,0.4719,0.5677,99.1250,93.4084,5.5833,5.3227,5.6667,5.0000
US,United States,12.1017,1.4375,0.7222,84.0403,70.2919,5.5833,5.3028,5.6667,6.4382
