Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,12.3402,2.2424,0.9961,37.3841,26.5466,7.0000,6.0000,5.0000,4.0000
AU,4.8968,0.7220,0.8084,96.1835,94.8824,8.0000,8.0000,7.0000,8.0000
BR,23.3736,5.7355,0.9616,73.1478,37.1333,7.0000,8.0000,7.0000,6.0000
CA,4.8473,0.8434,0.7838,96.6285,88.6374,6.0000,7.0000,6.0000,10.0000
CH,18.7430,10.4491,0.9244,37.2460,50.1552,8.0000,9.0000,7.0000,6.0000
FR,4.5727,0.5628,0.8240,97.9421,87.7101,9.0000,7.0000,9.0000,9.0000
DE,3.3731,0.6045,0.8794,97.5348,98.2980,6.4783,6.4375,6.2821,6.3125
IN,16.4944,14.1720,0.9613,26.0452,54.8472,3.0000,4.0000,3.0000,4.0000
ID,12.1487,3.5851,1.1097,84.5483,84.5682,8.0000,5.0000,8.0000,9.0000
IT,5.1709,0.5496,0.8134,62.9278,10.8233,8.0000,7.0000,7.0000,9.0000
JP,3.7664,0.4532,0.8425,98.9083,67.6566,7.0000,9.0000,7.0000,9.0000
KR,9.4111,2.0326,0.8318,83.8112,18.8081,8.0000,7.0000,7.0000,6.0000
MX,13.3137,4.5818,0.9142,36.1102,13.1096,5.0000,5.0000,7.0000,6.0000
RU,18.9353,5.3835,0.9234,70.1066,24.2031,8.0000,6.0000,7.0000,4.0000
SA,27.4253,11.9543,1.1038,71.7650,58.7767,8.0000,8.0000,5.0000,3.0000
ZA,22.4289,11.1366,0.8291,31.0176,8.1323,3.0000,4.0000,2.0000,5.0000
TR,8.9614,4.6911,1.3109,36.3721,69.9583,4.0000,3.0000,2.0000,3.0000
GB,2.4745,0.4719,0.9464,99.1250,93.4084,6.5146,6.5941,6.3414,6.4634
US,12.1017,1.4375,0.9704,84.0403,70.2919,6.5186,6.5593,6.3362,6.4382
