indicator,year,country,digitized,mean_of_integer_cells,n_integer_cells,confirmed
C41,2010,AU,5.592,5.583,12,True
C41,2010,CA,5.6,5.583,12,True
C41,2010,DE,5.562,5.583,12,True
C41,2010,IN,5.567,5.583,12,True
C41,2010,JP,5.558,5.583,12,True
C41,2010,GB,5.623,5.583,12,True
C41,2010,US,5.6,5.583,12,True
C41,2015,DE,6.478,6.688,16,False
C41,2015,GB,6.515,6.688,16,False
C41,2015,US,6.519,6.688,16,False
C41,2019,DE,6.741,6.765,17,True
C41,2019,US,6.779,6.765,17,True
C42,2010,AU,5.302,5.077,13,False
C42,2010,DE,5.266,5.077,13,False
C42,2010,ID,5.291,5.077,13,False
C42,2010,JP,5.293,5.077,13,False
C42,2010,GB,5.323,5.077,13,False
C42,2010,US,5.303,5.077,13,False
C42,2015,DE,6.549,6.438,16,True
C42,2015,GB,6.594,6.438,16,False
C42,2015,US,6.559,6.438,16,False
C42,2019,DE,7.276,7.294,17,True
C42,2019,US,7.293,7.294,17,True
C43,2010,AU,5.678,5.667,12,True
C43,2010,CA,5.657,5.667,12,True
C43,2010,CH,5.667,5.667,12,True
C43,2010,DE,5.632,5.667,12,True
C43,2010,JP,5.666,5.667,12,True
C43,2010,GB,5.671,5.667,12,True
C43,2010,US,5.689,5.667,12,True
C43,2015,DE,6.282,6.0,16,False
C43,2015,GB,6.341,6.0,16,False
C43,2015,US,6.336,6.0,16,False
C43,2019,DE,6.548,6.588,17,True
C43,2019,US,6.589,6.588,17,True
C44,2010,US,6.438,4.889,18,False
C44,2015,DE,6.422,6.312,16,True
C44,2015,GB,6.463,6.312,16,False
C44,2015,US,6.438,6.312,16,False
C44,2019,DE,6.866,6.889,18,True
