,,A31,A32,A33,B21,B22,C41,C42,C43,C44
2010,centre,0,4,0,0,0,0,0,0,0
2010,int,0,0,0,0,0,5,7,6,15
2010,mean,0,0,0,0,0,7,0,7,0
2010,occluded,5,9,3,12,12,7,6,6,4
2010,ok,14,6,16,7,7,0,6,0,0
2015,centre,0,4,0,0,0,0,0,0,0
2015,int,0,0,0,0,0,8,7,6,5
2015,mean,0,0,0,0,0,0,1,0,1
2015,occluded,10,7,3,10,10,8,9,10,11
2015,ok,9,8,16,9,9,3,2,3,2
2019,centre,0,4,0,0,0,0,0,0,0
2019,int,0,0,0,0,0,13,11,15,15
2019,mean,0,0,0,0,0,2,2,2,1
2019,occluded,9,5,0,5,4,4,6,2,3
2019,ok,10,10,19,14,15,0,0,0,0
2023,centre,0,4,0,0,0,0,0,0,0
2023,int,0,0,0,0,0,19,19,19,19
2023,ok,19,15,19,19,19,0,0,0,0
