,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,occluded,ok,ok,ok,ok,int,int,int,int
AU,ok,centre,ok,occluded,occluded,mean,ok,mean,int
BR,ok,occluded,ok,ok,ok,occluded,occluded,int,occluded
CA,ok,centre,ok,occluded,occluded,mean,int,mean,int
CH,ok,occluded,occluded,ok,occluded,occluded,occluded,mean,int
FR,ok,occluded,ok,occluded,ok,int,int,occluded,int
DE,occluded,centre,ok,occluded,occluded,mean,ok,mean,int
IN,ok,occluded,ok,ok,occluded,mean,int,int,int
ID,ok,occluded,ok,occluded,occluded,int,ok,int,int
IT,ok,centre,ok,occluded,occluded,occluded,occluded,occluded,int
JP,ok,occluded,ok,occluded,ok,mean,ok,mean,int
KR,ok,ok,occluded,occluded,ok,occluded,occluded,occluded,int
MX,ok,ok,occluded,occluded,ok,occluded,int,int,int
RU,ok,ok,ok,ok,ok,int,occluded,occluded,occluded
SA,ok,ok,ok,ok,occluded,int,int,occluded,occluded
ZA,ok,ok,ok,occluded,occluded,occluded,int,occluded,int
TR,occluded,occluded,ok,ok,occluded,occluded,occluded,int,int
GB,occluded,occluded,ok,occluded,occluded,mean,ok,mean,int
US,occluded,occluded,ok,occluded,occluded,mean,ok,mean,occluded
