Year,Method,A31,A32,A33,B21,B22,C41,C42,C43,C44
2010,PSI,0.12864782797514618,0.09425412866905829,0.0725023332851422,0.13221883474027485,0.15707197790378105,0.09065565733563506,0.10754057881955983,0.09856766416433409,0.11854099710706849
2010,CRITIC,0.11249649236473301,0.12689091122706944,0.06459832743081306,0.10427141417022644,0.16972542118451792,0.09938337729501151,0.11757273583146839,0.0873911657595436,0.11767015473661661
2010,Entropy,0.16026881178407104,0.39751968612323346,0.015956305018588107,0.058573702908709925,0.14267130390961105,0.037936164393697916,0.0646298589255205,0.054075559853878935,0.06836860708268902
2015,PSI,0.1398800986150967,0.17392213681093874,0.04667990184150302,0.1338558876431227,0.1562718835893674,0.08595595341116423,0.08205864456861126,0.08771742598980851,0.09365806753038741
2015,CRITIC,0.1345286092727443,0.13511962020030727,0.06154725143457,0.09807571839324651,0.19578737244725156,0.10298348443068372,0.0910803051316452,0.09216379635711129,0.08871384233244023
2015,Entropy,0.17639383623755933,0.4294770343250742,0.007788374962260797,0.07057938667540967,0.159116889288893,0.03280449534762317,0.029555581884925977,0.04714817007294795,0.04713623120530585
2019,PSI,0.06564932455824185,0.1577749139310964,0.05107247108949218,0.15457721854034123,0.15461273128562616,0.10612739823843391,0.08262803750784176,0.09313684856664155,0.13442105628228487
2019,CRITIC,0.13043333552455433,0.15121181214462445,0.06818083711109717,0.1195823014251089,0.1546721454045708,0.10033596288691274,0.08538986821562988,0.07595162429141233,0.1142421129960894
2019,Entropy,0.21140919208661849,0.43096606277427024,0.01148485722168744,0.0844288899106207,0.11375379088265512,0.03246008680945829,0.018508391468908675,0.037457244070885375,0.059531484774895636
2023,PSI,0.24837950234909065,0.12478220971734282,0.0631398640970674,0.08894175798565765,0.16135318871732973,0.05233669847766338,0.0782273702792345,0.10951421819678506,0.07332519017982878
2023,CRITIC,0.19179886324406245,0.16335309040744472,0.10621183525049407,0.08294305096741605,0.12992792227115202,0.05025670284411684,0.08888272335279503,0.0933546708271026,0.09327114083541617
2023,Entropy,0.29523648806993363,0.4534074881638805,0.009549232016937715,0.02745989354877157,0.14838689746901057,0.00707337009937496,0.014604009301130094,0.031340490691659215,0.012942130639301786
