,2010,2010,2015,2015,2019,2019,2023,2023
,Score,Rank,Score,Rank,Score,Rank,Score,Rank
AR,0.076,17,0.12,11,0.104,15,0.096,11
AU,0.165,4,0.207,3,0.178,3,0.208,4
BR,0.106,14,0.109,13,0.12,13,0.093,12
CA,0.162,5,0.201,5,0.167,6,0.194,6
CH,0.12,12,0.098,15,0.104,16,0.093,13
FR,0.176,2,0.208,2,0.178,4,0.198,5
DE,0.173,3,0.198,6,0.176,5,0.21,3
IN,0.068,18,0.056,18,0.033,19,0.068,18
ID,0.134,11,0.138,10,0.157,7,0.114,10
IT,0.155,7,0.165,7,0.148,10,0.168,7
JP,0.156,6,0.21,1,0.179,2,0.228,2
KR,0.142,10,0.15,9,0.155,8,0.118,9
MX,0.101,15,0.1,14,0.123,12,0.079,17
RU,0.117,13,0.111,12,0.107,14,0.09,14
SA,0.083,16,0.074,17,0.065,18,0.086,15
ZA,0.044,19,0.041,19,0.069,17,0.053,19
TR,0.155,8,0.097,16,0.134,11,0.085,16
GB,0.18,1,0.205,4,0.19,1,0.242,1
US,0.152,9,0.16,8,0.15,9,0.14,8
