,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,Vector,MinMax,Max,Vector,MinMax,Max,Vector,MinMax,Max,Vector,MinMax,Max
AR,17,17,17,11,11,11,15,16,15,11,11,11
AU,4,4,4,3,2,2,3,3,3,4,4,3
BR,14,14,14,13,13,13,13,13,13,12,12,12
CA,5,5,5,5,4,4,6,6,6,6,6,6
CH,12,12,12,15,16,16,16,15,16,13,14,13
FR,2,2,1,2,1,1,4,2,2,5,5,5
DE,3,3,3,6,5,5,5,5,4,3,3,2
IN,18,18,18,18,18,18,19,19,19,18,18,18
ID,11,11,11,10,10,10,7,7,7,10,10,9
IT,7,6,6,7,7,7,10,10,10,7,7,7
JP,6,7,8,1,3,3,2,4,5,2,2,4
KR,10,9,9,9,9,9,8,8,8,9,9,10
MX,15,15,15,14,14,14,12,12,12,17,17,17
RU,13,13,13,12,12,12,14,14,14,14,13,14
SA,16,16,16,17,17,17,18,18,18,15,16,16
ZA,19,19,19,19,19,19,17,17,17,19,19,19
TR,8,10,10,16,15,15,11,11,11,16,15,15
GB,1,1,2,4,6,6,1,1,1,1,1,1
US,9,8,7,8,8,8,9,9,9,8,8,8
