,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy
AR,17,17,12,11,11,10,15,14,12,11,12,11
AU,4,4,5,3,2,3,3,4,4,4,4,4
BR,14,14,15,13,13,15,13,13,14,12,13,14
CA,5,5,4,5,5,4,6,6,6,6,6,6
CH,12,12,16,15,14,16,16,16,16,13,15,17
FR,2,2,3,2,1,6,4,5,5,5,5,5
DE,3,3,7,6,6,5,5,3,3,3,3,3
IN,18,18,18,18,18,18,19,19,19,18,18,16
ID,11,11,11,10,10,11,7,8,10,10,10,9
IT,7,7,9,7,7,7,10,9,7,7,7,8
JP,6,8,6,1,3,2,2,2,2,2,2,2
KR,10,10,10,9,9,9,8,7,8,9,9,10
MX,15,15,13,14,15,13,12,12,11,17,17,12
RU,13,13,14,12,12,14,14,15,15,14,11,13
SA,16,16,17,17,17,17,18,18,18,15,16,18
ZA,19,19,19,19,19,19,17,17,17,19,19,19
TR,8,6,1,16,16,12,11,11,13,16,14,15
GB,1,1,2,4,4,1,1,1,1,1,1,1
US,9,9,8,8,8,8,9,10,9,8,8,7
