,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE
AR,17,19,18,11,15,15,15,19,16,11,17,16
AU,4,5,5,3,3,3,3,3,4,4,4,4
BR,14,2,13,13,11,11,13,13,12,12,9,11
CA,5,9,6,5,5,6,6,7,6,6,7,5
CH,12,3,12,15,10,12,16,12,14,13,1,9
FR,2,1,4,2,1,4,4,2,5,5,5,6
DE,3,7,3,6,7,5,5,4,3,3,6,3
IN,18,16,17,18,16,18,19,17,19,18,19,19
ID,11,4,10,10,6,9,7,5,8,10,18,13
IT,7,12,9,7,13,8,10,14,9,7,14,7
JP,6,15,7,1,4,2,2,8,2,2,11,2
KR,10,10,11,9,12,10,8,10,10,9,12,12
MX,15,17,16,14,17,17,12,16,13,17,13,15
RU,13,13,14,12,14,14,14,15,15,14,15,14
SA,16,11,15,17,2,13,18,11,17,15,3,10
ZA,19,18,19,19,19,19,17,18,18,19,8,18
TR,8,14,1,16,18,16,11,6,11,16,16,17
GB,1,6,2,4,8,1,1,1,1,1,2,1
US,9,8,8,8,9,7,9,9,7,8,10,8
