,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,VE,MM,MA,VE,MM,MA,VE,MM,MA,VE,MM,MA
AR,3,3,3,4,3,3,4,3,3,3,4,3
AU,1,1,1,1,1,1,2,1,1,1,1,1
BR,3,4,4,3,4,4,4,3,3,4,3,4
CA,1,1,1,1,1,1,2,1,1,1,2,1
CH,3,4,4,2,4,4,3,2,4,4,3,4
FR,1,1,1,1,1,1,2,1,1,1,2,1
DE,1,1,1,1,2,2,2,1,1,1,1,1
IN,4,3,3,2,3,3,3,4,4,3,4,3
ID,1,2,1,4,2,2,2,2,2,2,2,2
IT,2,1,2,3,4,4,1,2,2,2,2,2
JP,2,1,2,1,1,1,1,2,2,2,1,1
KR,2,1,2,3,4,4,1,2,2,2,3,3
MX,3,3,3,3,3,3,4,3,3,3,3,3
RU,3,4,4,3,4,4,4,3,3,3,4,3
SA,4,3,3,4,4,4,4,4,4,4,3,4
ZA,4,3,3,3,3,3,4,4,4,3,2,3
TR,1,2,1,2,3,3,3,2,2,3,4,3
GB,1,1,1,1,2,2,2,1,1,1,1,1
US,1,1,1,4,2,2,2,1,1,1,3,4
