,Component 1,Component 2,Group
AR,32.08917999267578,-21.114837646484375,3
AU,-20.724933624267578,14.092521667480469,1
BR,41.693485260009766,-20.435550689697266,3
CA,-19.643640518188477,1.0540292263031006,1
CH,42.13864517211914,-29.87495994567871,3
FR,-20.761661529541016,-9.811702728271484,1
DE,-20.781423568725586,23.985069274902344,1
IN,37.625064849853516,4.9267659187316895,4
ID,-6.025012969970703,12.124553680419922,1
IT,42.07232666015625,48.18415069580078,2
JP,32.71025085449219,46.94388198852539,2
KR,40.15083312988281,56.973426818847656,2
MX,32.19839096069336,-43.95331573486328,3
RU,39.8629264831543,-48.79765319824219,3
SA,43.326229095458984,-1.8181641101837158,4
ZA,56.59727096557617,-5.043911457061768,4
TR,-31.118404388427734,15.547616958618164,1
GB,-29.264373779296875,-1.1429104804992676,1
US,-7.88810920715332,-10.167071342468262,1
