,2010,2010,2015,2015,2019,2019,2023,2023
,Score,Rank,Score,Rank,Score,Rank,Score,Rank
AR,0.083,17,0.113,11,0.113,14,0.132,15
AU,0.183,5,0.201,4,0.197,5,0.199,4
BR,0.112,12,0.11,12,0.125,13,0.139,14
CA,0.176,7,0.194,6,0.187,6,0.197,6
CH,0.102,14,0.099,15,0.107,16,0.142,13
FR,0.198,2,0.21,1,0.203,3,0.208,3
DE,0.198,3,0.197,5,0.202,4,0.208,2
IN,0.06,18,0.053,18,0.035,19,0.097,17
ID,0.139,10,0.151,9,0.165,9,0.083,18
IT,0.178,6,0.171,7,0.173,7,0.167,8
JP,0.183,4,0.207,2,0.213,2,0.197,5
KR,0.148,9,0.146,10,0.168,8,0.174,7
MX,0.096,15,0.101,14,0.131,12,0.122,16
RU,0.11,13,0.107,13,0.112,15,0.145,12
SA,0.087,16,0.077,17,0.066,18,0.153,9
ZA,0.037,19,0.046,19,0.072,17,0.047,19
TR,0.125,11,0.092,16,0.14,11,0.149,11
GB,0.212,1,0.206,3,0.225,1,0.22,1
US,0.16,8,0.153,8,0.159,10,0.149,10
