,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,Vector,MinMax,Max,Vector,MinMax,Max,Vector,MinMax,Max,Vector,MinMax,Max
AR,17,17,16,11,11,11,14,14,14,15,15,15
AU,5,4,4,4,2,2,5,4,4,4,4,4
BR,12,12,12,12,12,12,13,13,13,14,14,14
CA,7,5,5,6,4,4,6,6,6,6,5,5
CH,14,14,15,15,15,16,16,16,16,13,13,13
FR,2,2,2,1,1,1,3,3,2,3,2,2
DE,3,3,3,5,6,6,4,5,5,2,3,3
IN,18,18,18,18,18,18,19,19,19,17,17,17
ID,10,10,10,9,8,8,9,8,8,18,18,18
IT,6,6,6,7,7,7,7,9,9,8,8,8
JP,4,7,7,2,3,3,2,2,3,5,6,6
KR,9,9,9,10,10,10,8,7,7,7,7,7
MX,15,15,14,14,14,14,12,12,12,16,16,16
RU,13,13,13,13,13,13,15,15,15,12,12,12
SA,16,16,17,17,17,17,18,18,18,9,9,9
ZA,19,19,19,19,19,19,17,17,17,19,19,19
TR,11,11,11,16,16,15,11,11,11,11,10,11
GB,1,1,1,3,5,5,1,1,1,1,1,1
US,8,8,8,8,9,9,10,10,10,10,11,10
