,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy,PSI,CRITIC,Entropy
AR,17,17,12,11,11,11,14,16,12,15,15,11
AU,5,4,5,4,4,5,5,5,5,4,6,5
BR,12,12,13,12,12,15,13,13,14,14,12,14
CA,7,7,7,6,6,6,6,6,6,6,4,6
CH,14,14,16,15,13,16,16,14,16,13,13,16
FR,2,2,3,1,1,3,3,3,4,3,2,4
DE,3,3,2,5,5,4,4,4,3,2,3,3
IN,18,18,18,18,18,19,19,19,19,17,17,17
ID,10,10,10,9,8,10,9,7,10,18,18,18
IT,6,6,6,7,7,7,7,9,7,8,9,7
JP,4,5,4,2,2,2,2,2,2,5,5,2
KR,9,9,9,10,10,9,8,8,8,7,7,8
MX,15,15,14,14,15,13,12,12,11,16,16,13
RU,13,13,15,13,14,14,15,15,15,12,11,12
SA,16,16,17,17,17,17,18,18,18,9,10,15
ZA,19,19,19,19,19,18,17,17,17,19,19,19
TR,11,11,11,16,16,12,11,11,13,11,8,10
GB,1,1,1,3,3,1,1,1,1,1,1,1
US,8,8,8,8,9,8,10,10,9,10,14,9
