,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE,AROMAN,COPRAS,PROMETHEE
AR,17,19,18,11,16,15,14,19,17,15,17,15
AU,5,5,5,4,2,5,5,4,5,4,2,5
BR,12,2,11,12,11,11,13,13,12,14,11,12
CA,7,10,7,6,5,6,6,8,6,6,5,6
CH,14,3,13,15,10,12,16,12,14,13,6,11
FR,2,1,3,1,1,3,3,3,4,3,1,4
DE,3,4,2,5,7,4,4,7,3,2,4,2
IN,18,12,17,18,15,18,19,15,19,17,19,18
ID,10,6,9,9,4,8,9,6,10,18,18,17
IT,6,13,6,7,13,7,7,14,7,8,13,7
JP,4,15,4,2,6,2,2,9,2,5,10,3
KR,9,11,10,10,12,10,8,11,9,7,12,8
MX,15,18,16,14,17,17,12,17,13,16,15,16
RU,13,16,14,13,14,14,15,16,15,12,14,14
SA,16,8,15,17,3,13,18,2,16,9,7,10
ZA,19,17,19,19,19,19,17,18,18,19,8,19
TR,11,14,12,16,18,16,11,5,11,11,16,13
GB,1,7,1,3,8,1,1,1,1,1,3,1
US,8,9,8,8,9,9,10,10,8,10,9,9
